EU,Product.Type,Product.Type.Code,Product.Subtype,Product.Subtype.Code,Product.Subtype.Code.Check,Product,Product.Simple,Product.Simple.Code,Product.Code.Check,Component,Species,Notes,Nfix,Tree,Mulched,Incorp,Unknown.Fate
t112,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Melia volkensii,Melia volkensii,,,NA,Melia volkensii,,,Yes,a15.1,a15.2,a15
t113,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Milicia excelsa,Milicia excelsa,,,NA,Milicia excelsa,,,Yes,a15.1,a15.2,a15
t114,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Milletia ferruginea,Milletia ferruginea,,,NA,Milletia ferruginea,,,Yes,a15.1,a15.2,a15
t115,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Millettia thonningii,Millettia thonningii,,,NA,Millettia thonningii,,,Yes,a15.1,a15.2,a15
t192,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Mimosa invisa,Mimosa invisa,,,NA,Mimosa invisa,,Yes,Yes,a16.1,a16.2,a16
t116,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Moringa oleifera,Moringa oleifera,,,NA,Moringa oleifera,,,Yes,a15.1,a15.2,a15
t117,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Moringa stenopetala,Moringa stenopetala,,,NA,Moringa stenopetala,,,Yes,a15.1,a15.2,a15
t185,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Neonotonia wightii,Neonotonia wightii,,,NA,Neonotonia wightii,,Yes,Yes,a16.1,a16.2,a16
t118,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Newbouldia laevis,Newbouldia laevis,,,NA,Newbouldia laevis,,,Yes,a15.1,a15.2,a15
t119,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Olea europaea,Olea europaea,,,NA,Olea europaea,,,Yes,a15.1,a15.2,a15
t120,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Opuntia ficus-indica,Opuntia ficus-indica,,,NA,Opuntia ficus-indica,,,Yes,a15.1,a15.2,a15
t121,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Palm,Palm,,,NA,Palm,,,Yes,a15.1,a15.2,a15
t122,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Parkia biglobosa,Parkia biglobosa,,,NA,Parkia biglobosa,,,Yes,a15.1,a15.2,a15
t123,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Paulownia fortunei,Paulownia fortunei,,,NA,Paulownia fortunei,,,Yes,a15.1,a15.2,a15
t125,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Pinus patula,Pinus patula,,,NA,Pinus patula,,,Yes,a15.1,a15.2,a15
t126,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Pithecellobium dulce,Pithecellobium dulce,,,NA,Pithecellobium dulce,,,Yes,a15.1,a15.2,a15
t158,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Plukenetia conophora,Plukenetia conophora,,,NA,Plukenetia conophora,,,Yes,a15.1,a15.2,a15
t127,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Podocarpus falcatus,Podocarpus falcatus,,,NA,Podocarpus falcatus,,,Yes,a15.1,a15.2,a15
t187,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Poupartia silvatica,Poupartia silvatica,,,NA,Poupartia silvatica,,No,Yes,a17.1,a17.2,a17
t128,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Prosopis africana,Prosopis africana,,,NA,Prosopis africana,,,Yes,a15.1,a15.2,a15
t129,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Prosopis juliflora,Prosopis juliflora,,,NA,Prosopis juliflora,,,Yes,a15.1,a15.2,a15
t130,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Prunus africana,Prunus africana,,,NA,Prunus africana,,,Yes,a15.1,a15.2,a15
t131,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Prunus persica,Prunus persica,,,NA,Prunus persica,,,Yes,a15.1,a15.2,a15
t132,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Pterocarpus erinaceus,Pterocarpus erinaceus,,,NA,Pterocarpus erinaceus,,,Yes,a15.1,a15.2,a15
t133,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Pterocarpus lucens,Pterocarpus lucens,,,NA,Pterocarpus lucens,,,Yes,a15.1,a15.2,a15
t134,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Pterocarpus santalinoides,Pterocarpus santalinoides,,,NA,Pterocarpus santalinoides,,,Yes,a15.1,a15.2,a15
t135,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Pueraria phaseoloides,Pueraria phaseoloides,,,NA,Pueraria phaseoloides,,,Yes,a15.1,a15.2,a15
t136,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Quillaja saponaria,Quillaja saponaria,,,NA,Quillaja saponaria,,,Yes,a15.1,a15.2,a15
t137,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Ricinodendron heudelotii,Ricinodendron heudelotii,,,NA,Ricinodendron heudelotii,,,Yes,a15.1,a15.2,a15
t138,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Rosmarinus officinalis,Rosmarinus officinalis,,,NA,Rosmarinus officinalis,,,Yes,a15.1,a15.2,a15
t139,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Schefflera abyssinica,Schefflera abyssinica,,,NA,Schefflera abyssinica,,,Yes,a15.1,a15.2,a15
